Session	Date	Time CST Local Time (UTC/GMT -6 hours )	Room	Paper Type	Session Name 	Pres. Order	Paper ID	Paper Title	Author	Length	Category	Presentation Preference	Is registered?	Type of registration	Underline comments	Session (on CHANGE SHEET)	Changed From	Changed To	Status of Change	Chair	Chair email	Abstract	Old Presentation Mode
Session C	2024-06-17	14:00	Alberto 1 (Cap. 400)	Main Conference	Ethics, Bias, and Fairness 1	5	196	Automatic Generation of Model and Data Cards: A Step Towards Responsible AI	['Jiarui Liu', 'Wenkai Li', 'Zhijing Jin', 'Mona T. Diab']		Oral 	In Person	Yes	In Person 	DONE: moved from poster to oral as per comment in CHANGE SHEET	Oral C1	Session E - 06/18 - 9-10:30 	Conf Session C - 06/17 - 14-15:30	Complete				
Session C	2024-06-17	14:00	Alberto 2 (Cap. 200)	Main Conference	Summarization	1	51	AMRFact: Enhancing Summarization Factuality Evaluation with AMR-Driven Negative Samples Generation	['Haoyi Qiu', 'Kung-Hsiang Huang', 'Jingnong Qu', 'Nanyun Peng']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C2				Rui Zhang	rmz5227@psu.edu		
Session C	2024-06-17	14:00	Alberto 2 (Cap. 200)	Main Conference	Summarization	2	211	RST-LoRA: A Discourse-Aware Low-Rank Adaptation for Long Document Abstractive Summarization	['Dongqi Pu', 'Vera Demberg']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C2							
Session C	2024-06-17	14:00	Alberto 2 (Cap. 200)	Main Conference	Summarization	3	684	Semi-Supervised Dialogue Abstractive Summarization via High-Quality Pseudolabel Selection	['Jianfeng He', 'Hang Su', 'Jason Cai', 'Igor Shalyminov', 'Hwanjun Song', 'Saab Mansour']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C2		Conf Session C - 06/17 - 14-15:30	Complete				Oral
Session C	2024-06-17	14:00	Alberto 2 (Cap. 200)	Main Conference	Summarization	4	856	CCSum: A Large-Scale and High-Quality Dataset for Abstractive News Summarization	['Xiang Jiang', 'Markus Dreyer']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C2							
Session C	2024-06-17	14:00	Alberto 2 (Cap. 200)	Main Conference	Summarization	5	991	Improving Factuality in Clinical Abstractive Multi-Document Summarization by Guided Continued Pre-training	['Ahmed Salem Mohamed Elhady Mohamed', 'Khaled Mostafa Elsayed', 'Eneko Agirre', 'Mikel Artetxe']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C2							
Session C	2024-06-17	14:00	Alberto 3 (Cap. 200)	Main Conference	Information Extraction	1	3	Named Entity Recognition Under Domain Shift via Metric Learning for Life Sciences	['Hongyi Liu', 'Qingyun Wang', 'Payam Karisani', 'Heng Ji']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C3				Arnab Bhattacharya	arnabb@cse.iitk.ac.in		
Session C	2024-06-17	14:00	Alberto 3 (Cap. 200)	Main Conference	Information Extraction	2	580	GLiNER: Generalist Model for Named Entity Recognition using Bidirectional Transformer	['Urchade Zaratiana', 'Nadi Tomeh', 'Pierre Holat', 'Thierry Charnois']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C3							
Session C	2024-06-17	14:00	Alberto 3 (Cap. 200)	Main Conference	Information Extraction	3	658	Event Detection from Social Media for Epidemic Prediction	['Tanmay Parekh', 'Anh Mac', 'Jiarui Yu', 'Yuxuan Dong', 'Syed Shahriar', 'Bonnie Liu', 'Eric J Yang', 'Kuan-Hao Huang', 'Wei Wang', 'Nanyun Peng', 'Kai-Wei Chang']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C3							
Session C	2024-06-17	14:00	Alberto 3 (Cap. 200)	Main Conference	Information Extraction	4	786	Efficient Information Extraction in Few-Shot Relation Classification through Contrastive Representation Learning	['Philipp Borchert', 'Jochen De Weerdt', 'Marie-Francine Moens']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C3							
Session C	2024-06-17	14:00	Alberto 3 (Cap. 200)	Main Conference	Information Extraction	5	979	Does Pre-trained Language Model Actually Infer Unseen Links in Knowledge Graph Completion?	['Yusuke Sakai', 'Hidetaka Kamigaito', 'Katsuhiko Hayashi', 'Taro Watanabe']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C3							
Session C	2024-06-17	14:00	Alberto 4 (Cap. 400)	Main Conference	Multilinguality and Language Diversity	1	179	BUFFET: Benchmarking Large Language Models for Few-shot Cross-lingual Transfer	['Akari Asai', 'Sneha Kudugunta', 'Xinyan Velocity Yu', 'Terra Blevins', 'Hila Gonen', 'Machel Reid', 'Yulia Tsvetkov', 'Sebastian Ruder', 'Hannaneh Hajishirzi']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C4				Alberto Barrón-Cedeño	a.barron@unibo.it		
Session C	2024-06-17	14:00	Alberto 4 (Cap. 400)	Main Conference	Multilinguality and Language Diversity	2	464	Zero-Shot vs. Translation-Based Cross-Lingual Transfer: The Case of Lexical Gaps	['Abteen Ebrahimi', 'Katharina von der Wense']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C4							
Session C	2024-06-17	14:00	Alberto 4 (Cap. 400)	Main Conference	Multilinguality and Language Diversity	3	942	Leitner-Guided Memory Replay for Cross-lingual Continual Learning	["Meryem M'hamdi", 'Jonathan May']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C4							
Session C	2024-06-17	14:00	Alberto 4 (Cap. 400)	Main Conference	Multilinguality and Language Diversity	4	1020	Adaptive Cross-lingual Text Classification through In-Context One-Shot Demonstrations	['Emilio Villa Cueva', 'ADRIAN PASTOR LOPEZ MONROY', 'Fernando Sánchez-Vega', 'Thamar Solorio']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C4							
Session C	2024-06-17	14:00	Alberto 4 (Cap. 400)	Main Conference	Multilinguality and Language Diversity	5	1137	Breaking the Language Barrier: Can Direct Inference Outperform Pre-Translation in Multilingual LLM Applications?	['Yotam Intrator', 'Matan Halfon', 'Roman Goldenberg', 'Reut Tsarfaty', 'Matan Eyal', 'Ehud Rivlin', 'Yossi Matias', 'Natalia Aizenberg']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C4							
Session C	2024-06-17	14:00	Adelita (Cap. 120)	Main Conference	Semantics: Sentence-level Semantics, Textual Inference and Other areas	1	85	BeLLM: Backward Dependency Enhanced Large Language Model for Sentence Embeddings	['Xianming LI', 'Jing Li']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C5				Marianna Apidianaki	marapi@seas.upenn.edu		
Session C	2024-06-17	14:00	Adelita (Cap. 120)	Main Conference	Semantics: Sentence-level Semantics, Textual Inference and Other areas	2	125	X-PARADE: Cross-Lingual Textual Entailment and Information Divergence across Paragraphs	['Juan Diego Rodriguez', 'Katrin Erk', 'Greg Durrett']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C5							
Session C	2024-06-17	14:00	Adelita (Cap. 120)	Main Conference	Semantics: Sentence-level Semantics, Textual Inference and Other areas	3	340	Complex Claim Verification with Evidence Retrieved in the Wild	['Jifan Chen', 'Grace Kim', 'Aniruddh Sriram', 'Greg Durrett', 'Eunsol Choi']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C5							
Session C	2024-06-17	14:00	Adelita (Cap. 120)	Main Conference	Semantics: Sentence-level Semantics, Textual Inference and Other areas	4	539	Leveraging Code to Improve In-Context Learning for Semantic Parsing	['Ben Bogin', 'Shivanshu Gupta', 'Peter Clark', 'Ashish Sabharwal']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C5							
Session C	2024-06-17	14:00	Adelita (Cap. 120)	Main Conference	Semantics: Sentence-level Semantics, Textual Inference and Other areas	5	971	MOSAICo: a Multilingual Open-text Semantically Annotated Interlinked Corpus	['Simone Conia', 'Edoardo Barba', 'Abelardo Carlos Martinez Lorenzo', 'Pere-Lluís Huguet Cabot', 'Riccardo Orlando', 'Luigi Procopio', 'Roberto Navigli']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals C5							
Session D	2024-06-17	16:00	Alberto 1 (Cap. 400)	Main Conference	Ethics, Bias, and Fairness 2	1	305	Instructional Fingerprinting of Large Language Models	['Jiashu Xu', 'Fei Wang', 'Mingyu Derek Ma', 'Pang Wei Koh', 'Chaowei Xiao', 'Muhao Chen']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D1				Jonathan Rusert	jrusert@pfw.edu		
Session D	2024-06-17	16:00	Alberto 1 (Cap. 400)	Main Conference	Ethics, Bias, and Fairness 2	2	428	Exploring Cross-Cultural Differences in English Hate Speech Annotations: From Dataset Construction to Analysis	['Nayeon Lee', 'Chani Jung', 'Junho Myung', 'Jiho Jin', 'Jose Camacho-Collados', 'Juho Kim', 'Alice Oh']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D1							
Session D	2024-06-17	16:00	Alberto 1 (Cap. 400)	Main Conference	Ethics, Bias, and Fairness 2	3	44	From Shortcuts to Triggers: Backdoor Defense with Denoised PoE	['Qin Liu', 'Fei Wang', 'Chaowei Xiao', 'Muhao Chen']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Oral D1	Session E - 06/18 - 9-10:30 	Conf Session D - 06/17 - 16 - 17:30	Complete				
Session D	2024-06-17	16:00	Alberto 1 (Cap. 400)	Main Conference	Ethics, Bias, and Fairness 2	4	873	Removing RLHF Protections in GPT-4 via Fine-Tuning	['Qiusi Zhan', 'Richard Fang', 'Rohan Bindu', 'Akul Gupta', 'Tatsunori Hashimoto', 'Daniel Kang']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D1							
Session D	2024-06-17	16:00	Alberto 1 (Cap. 400)	Main Conference	Ethics, Bias, and Fairness 2	5	325	GRASP: A Disagreement Analysis Framework to Assess Group Associations in Perspectives	['Vinodkumar Prabhakaran', 'Christopher M Homan', 'Lora Aroyo', 'Aida Mostafazadeh Davani', 'Alicia Parrish', 'Alex Taylor', 'Mark Diaz', 'Ding Wang', 'Gregory Serapio-García']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE: moved from poster to oral	Oral D1	Session E - 06/18 - 9-10:30 	Conf Session D - 06/17 - 16 - 17:30					
Session D	2024-06-17	16:00	Alberto 2 (Cap. 200)	Main Conference	Dialogue and Interactive Systems	1	47	FLAP: Flow-Adhering Planning with Constrained Decoding in LLMs	['Shamik Roy', 'Sailik Sengupta', 'Daniele Bonadiman', 'Saab Mansour', 'Arshit Gupta']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D2				Weiyan Shi	we.shi@northeastern.edu		
Session D	2024-06-17	16:00	Alberto 2 (Cap. 200)	Main Conference	Dialogue and Interactive Systems	2	231	LLM-based Medical Assistant Personalization with Short- and Long-Term Memory Coordination	['Kai Zhang', 'Yangyang Kang', 'Fubang Zhao', 'Xiaozhong Liu']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D2							
Session D	2024-06-17	16:00	Alberto 2 (Cap. 200)	Main Conference	Dialogue and Interactive Systems	3	554	MAGID: An Automated Pipeline for Generating Synthetic Multi-modal Datasets	['Hossein Aboutalebi', 'Hwanjun Song', 'Yusheng Xie', 'Arshit Gupta', 'Lijia Sun', 'Hang Su', 'Igor Shalyminov', 'Nikolaos Pappas', 'Siffi Singh', 'Saab Mansour']	Long 13/4.5/.5 (18)	Oral 	In Person		In Person 		Orals D2							
Session D	2024-06-17	16:00	Alberto 2 (Cap. 200)	Main Conference	Dialogue and Interactive Systems	4	557	Does GPT-4 pass the Turing test?	['Cameron Robert Jones', 'Ben Bergen']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D2							
Session D	2024-06-17	16:00	Alberto 2 (Cap. 200)	Main Conference	Dialogue and Interactive Systems	5	731	Grounding Gaps in Language Model Generations	['Omar Shaikh', 'Kristina Gligoric', 'Ashna Khetan', 'Matthias Gerstgrasser', 'Diyi Yang', 'Dan Jurafsky']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D2							
Session D	2024-06-17	16:00	Alberto 3 (Cap. 200)	Main Conference	Information Retrieval and Text Mining	1	236	CELI: Simple yet Effective Approach to Enhance Out-of-Domain Generalization of Cross-Encoders.	['Xinyu Zhang', 'Minghan Li', 'Jimmy Lin']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D3				Muhao Chen	muhchen@ucdavis.edu		
Session D	2024-06-17	16:00	Alberto 3 (Cap. 200)	Main Conference	Information Retrieval and Text Mining	2	396	Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey	['Garima Agrawal', 'Tharindu Sandaruwan Kumarage', 'Zeyad Alghamdi', 'huan liu']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D3							
Session D	2024-06-17	16:00	Alberto 3 (Cap. 200)	Main Conference	Information Retrieval and Text Mining	3	885	DUQGen: Effective Unsupervised Domain Adaptation of Neural Rankers by Diversifying Synthetic Query Generation	['Ramraj Chandradevan', 'Kaustubh Dhole', 'Eugene Agichtein']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D3							
Session D	2024-06-17	16:00	Alberto 3 (Cap. 200)	Main Conference	Information Retrieval and Text Mining	5	1037	REPLUG: Retrieval-Augmented Black-Box Language Models	['Weijia Shi', 'Sewon Min', 'Michihiro Yasunaga', 'Minjoon Seo', 'Richard James', 'Mike Lewis', 'Luke Zettlemoyer', 'Wen-tau Yih']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	Virtual	DONE: moved to Gather	GT TBD	Conf Session D - 06/17 - 16 - 17:30	VGT - TBD	Complete				
Session D	2024-06-17	16:00	Alberto 3 (Cap. 200)	Main Conference	Information Retrieval and Text Mining	4	426	MDR: Model-Specific Demonstration Retrieval at Inference Time for In-Context Learning	['Weijia Shi', 'Sewon Min', 'Michihiro Yasunaga', 'Minjoon Seo', 'Richard James', 'Mike Lewis', 'Luke Zettlemoyer', 'Wen-tau Yih']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Oral D3	Session E - 06/18 - 9-10:30 	Conf Session D - 06/17 - 16 - 17:30	Complete				
Session D	2024-06-17	16:00	Alberto 3 (Cap. 200)	Main Conference	Information Retrieval and Text Mining	5	399	Beyond Yes and No: Improving Zero-Shot LLM Rankers via Scoring Fine-Grained Relevance Labels	['Honglei Zhuang', 'Zhen Qin', 'Kai Hui', 'Junru Wu', 'Le Yan', 'Xuanhui Wang', 'Michael Bendersky']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 	DONE	Oral D3	Session E - 06/18 - 9-10:30 	Conf Session D - 06/17 - 16 - 17:30	Complete				
Session D	2024-06-17	16:00	Alberto 4 (Cap. 400)	Main Conference	Efficient/Low-Resource Methods for NLP	1	33	ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems	['Jon Saad-Falcon', 'Omar Khattab', 'Christopher Potts', 'Matei Zaharia']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D4				Yufang Hou	bnuxiaofang@gmail.com		
Session D	2024-06-17	16:00	Alberto 4 (Cap. 400)	Main Conference	Efficient/Low-Resource Methods for NLP	2	244	ContrastiveMix: Overcoming Code-Mixing Dilemma in Cross-Lingual Transfer for Information Retrieval	['Junggeun Do', 'Jaeseong Lee', 'seung-won hwang']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D4							
Session D	2024-06-17	16:00	Alberto 4 (Cap. 400)	Main Conference	Efficient/Low-Resource Methods for NLP	3	295	LoRETTA: Low-Rank Economic Tensor-Train Adaptation for Ultra-Low-Parameter Fine-Tuning of Large Language Models	['Yifan Yang', 'Jiajun Zhou', 'Ngai Wong', 'Zheng Zhang']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D4							
Session D	2024-06-17	16:00	Alberto 4 (Cap. 400)	Main Conference	Efficient/Low-Resource Methods for NLP	4	805	Leveraging the Structure of Pre-trained Embeddings to Minimize Annotation Effort	['Cesar Gonzalez-Gutierrez', 'Ariadna Quattoni']	Long 13/4.5/.5 (18)	Oral 	In Person	Yes	In Person 		Orals D4							
